Название;Материал;Дата поступления;Дата документа о качестве;Документ о качестве;;Отбор проб;Номер документа о качестве;Предприятие изготовитель
;ПГС по ГОСТ 23735;02.03.2025;;;;02.03/25-06;;"ООО ""СК ""Автодор"", карьер ""Путейское-1"""
0000260;Бетонные образцы-кубы;26.02.2025;11.02.2025;Файл: протокол № 40-ИС от 11.03.2025 (1)-002.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=181248&field_id=PROPERTY_1419&file_id=213307&ncc=y&download=y&download=y;40-ИС;0000260;ООО Компания Виталан
1;АБС к/з пл. тип Б М II по ГОСТ 9128;14.03.2025;11.03.2025;Файл: ДК 1 от 11.03.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174397&field_id=PROPERTY_1419&file_id=206613&ncc=y&download=y&download=y;13.03.2/Т-13-03;1;"ООО ""СУ925"""
173017;Щебень фр. 20-40 мм по ГОСТ 8267;08.02.2025;30.01.2025;Файл: паспорт протокол 07.02.2025-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173017&field_id=PROPERTY_1419&file_id=205137&ncc=y&download=y&download=y;Мак/1;;ГК Недра
173022;Бетонные образцы-кубы;05.12.2024;04.12.2024;Файл: Паспорт от 04 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173022&field_id=PROPERTY_1419&file_id=205143&ncc=y&download=y&download=y;0412/-БЕТ;041224-3;"ООО ""ГК ПЕГАС"""
173025;Бетонные образцы-кубы;27.12.2024;26.12.2024;Файл: Паспорт от 26 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173025&field_id=PROPERTY_1419&file_id=205145&ncc=y&download=y&download=y;2612/-БЕТ;БА-11324;"ООО ""СОЮЗ"""
173028;Бетонные образцы-кубы;27.12.2024;26.12.2024;Файл: Паспорт от 26 декабря БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173028&field_id=PROPERTY_1419&file_id=205147&ncc=y&download=y&download=y;2612/-БЕТ2;БА-11325;"ООО ""СОЮЗ"""
173031;Бетонные образцы-кубы;06.12.2024;05.12.2024;Файл: Паспорт от 05 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173031&field_id=PROPERTY_1419&file_id=205149&ncc=y&download=y&download=y;0512/-БЕТ;051224-1;"ООО ""ГК ПЕГАС"""
173034;Бетонные образцы-кубы;10.12.2024;09.12.2024;Файл: Паспорт от 09 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173034&field_id=PROPERTY_1419&file_id=205151&ncc=y&download=y&download=y;0912/-БЕТ;091224-1;"ООО ""ГК ПЕГАС"""
173037;Бетонные образцы-кубы;11.12.2024;10.12.2024;Файл: Паспорт от 10 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173037&field_id=PROPERTY_1419&file_id=205153&ncc=y&download=y&download=y;1012/-БЕТ;БА-10750;"ООО ""СОЮЗ"""
173040;Бетонные образцы-кубы;12.12.2024;11.12.2024;Файл: Паспорт от 11 декабря БСТ 2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173040&field_id=PROPERTY_1419&file_id=205521&ncc=y&download=y&download=y;1112/-БЕТ;БА-10877/1;"ООО ""СОЮЗ"""
173043;Бетонные образцы-кубы;13.12.2024;12.12.2024;Файл: Паспорт от 12 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173043&field_id=PROPERTY_1419&file_id=205156&ncc=y&download=y&download=y;1212/-БЕТ;121224-3;"ООО ""ГК ПЕГАС"""
173046;Песок по ГОСТ 8736;16.01.2025;06.01.2025;Файл: Паспорт №2376 от 06.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173046&field_id=PROPERTY_1419&file_id=205158&ncc=y&download=y&download=y;13/01/2025;;"ООО ""СК Аврора"""
173049;Грунт по ГОСТ 25100;16.01.2025;06.01.2025;Файл: Паспорт №2376 от 06.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173049&field_id=PROPERTY_1419&file_id=205160&ncc=y&download=y&download=y;13/01/2025;;"ООО ""СК Аврора"""
173053;Бетонные образцы-кубы;16.01.2025;28.12.2024;Файл: Паспорт №12326 от 28.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173053&field_id=PROPERTY_1419&file_id=205162&ncc=y&download=y&download=y;28/12/2024;;"АО ""Бетоника"""
173057;Бетонные образцы-кубы;16.01.2025;29.12.2024;Файл: Паспорт №12329 от 29.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173057&field_id=PROPERTY_1419&file_id=205165&ncc=y&download=y&download=y;29/12/2024;;"АО ""Бетоника"""
