Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
01.02/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 952+20-ПК 952+40 насыпь на подтопл. участке 01.02.25-01 (испытание 02.02.2025) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178800&field_id=PROPERTY_1409&file_id=210599&ncc=y&download=y&download=y;ЗП (подтопляемая часть), уч. ПК 952+20 - ПК 952+40;01.02.2025;ГЛК;01.02/25-01;
01.02/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174799&field_id=PROPERTY_1409&file_id=206938&ncc=y&download=y&download=y;Обратная засыпка конуса, ПК 1076+83,77 ОП1, ИССО 12;01.02.2025;ГЛК;01.02/25-01;
01.02/25-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В20 от 01.02.25-01-(7сут 08.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177618&field_id=PROPERTY_1409&file_id=209421&ncc=y&download=y&download=y;ПК 570+00, укрепление русла и откосов ВПТ;01.02.2025;ГЛК;01.02/25-01Б;
01.02/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 951+00 Осн. под лежень ОП1 01.02.25-02 (испыьание 02.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178719&field_id=PROPERTY_1409&file_id=210545&ncc=y&download=y&download=y;ПК 951+00, основание под лежень;01.02.2025;ГЛК;01.02/25-02;
01.02/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-3.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174802&field_id=PROPERTY_1409&file_id=206940&ncc=y&download=y&download=y;Замена слабого грунта ВПТ ПК 2+57, Развязка ПК 1076+83,77;01.02.2025;ГЛК;01.02/25-02;Повторный отбор
01.02/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 951+80-ПК 952+20 Насыпь (промежут. слой) 31.01.25-02 (испытание 01.02.2025) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178671&field_id=PROPERTY_1409&file_id=210511&ncc=y&download=y&download=y;ЗП, уч. ПК 951+80 - ПК 952+30;31.01.2025;ГЛК;01.02/25-02;
01.02/25-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В30 от 01.02.25-02-(7сут 08.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177967&field_id=PROPERTY_1409&file_id=209779&ncc=y&download=y&download=y;ПК 991+50, лежень Лм-1, ОК1;01.02.2025;ГЛК;01.02/25-02Б;
01.02/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174805&field_id=PROPERTY_1409&file_id=206942&ncc=y&download=y&download=y;ДСО, Развязка ПК 1076+83,77, уч. ПК 0+70 - ПК 3+00;01.02.2025;ГЛК;01.02/25-03;
01.02/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС Песок ПК 358 штабель Чугарыш 01.02.25-03 (испытание 02.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177901&field_id=PROPERTY_1409&file_id=209704&ncc=y&download=y&download=y;ПК 358 штабель;01.02.2025;ГЛК;01.02/25-03;Паспорт не предоставлен
01.02/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174808&field_id=PROPERTY_1409&file_id=206944&ncc=y&download=y&download=y;Земляное полотно 10,11-й слой, уч. ПК 1057+00 - ПК 1057+40;01.02.2025;ГЛК;01.02/25-04;
