ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 4;КР УДС Макеевка;Мак/1;07.02.2025;ПК 88;ГСК;08.02.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ГК Недра;07.02.2025-01;10.02.2025;Не соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0412/-БЕТ;04.12.2024;Восточный портал тоннельного комплекса;ГЛК;05.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;120/0101СРЦ;01.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2612/-БЕТ;26.12.2024;Мостовой переход через реку Кудепста ОП R03 БНС8;ГЛК;27.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;121/0201СРЦ;02.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;2612/-БЕТ2;26.12.2024;Восточный портал тоннельного комплекса БНС 16;ГЛК;27.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;122/0201СРЦ;02.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0512/-БЕТ;05.12.2024;Восточный портал тоннельного комплекса БКС 6;ГЛК;06.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;123/0201СРЦ;02.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;0912/-БЕТ;09.12.2024;Мостовой переход через реку Кудепста ОП L03 БНС9;ГЛК;10.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;124/0601СРЦ;06.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1012/-БЕТ;10.12.2024;Завод по изготовлению ТУБ для тоннеля ФМ-2;ГЛК;11.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;125/0701СРЦ;07.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1112/-БЕТ;11.12.2024;Восточный портал тоннельного комплекса, КРУН;ГЛК;12.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;126/0801СРЦ;08.01.2025;Соответствует;
МЛ ДСМ 3;СТР Обход Адлера;1212/-БЕТ;12.12.2024;Восточный портал тоннельного комплекса, БНС 116;ГЛК;13.12.2024;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;127/0901СРЦ;09.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;13.01.2025;13.01.2025;Строительство ТР681 а/д М-11 Нева, Съезд С2;ГСК;16.01.2025;Песок по ГОСТ 8736;-;ООО СК Аврора;№17/01/25/1П/1358/М-11;17.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;13.01.2025;13.01.2025;Строительство ТР681 а/д М-11 Нева, Съезд С2;ГСК;16.01.2025;Грунт по ГОСТ 25100;-;ООО СК Аврора;№23/01/25/1Г/1358/М-11;23.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;28.12.2024;28.12.2024;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С6;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;27/01/25/B25/1/1358/М-11;27.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;29.12.2024;29.12.2024;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С6;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;27/01/25/B25/2/1358/М-11;27.01.2025;Соответствует;
ПЛП 5;СТР ТР М-11 км 681 Пулково-1;05.01.2025;05.01.2025;Строительство ТР681 а/д М-11 Нева, Эстакада на съезде С5;ГСК;16.01.2025;Бетонные образцы-кубы;-;АО Бетоника;03/02/25/B25/1/1358;03.02.2025;Соответствует;
